symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 12:10:00+00:00,236.7,236.87,236.65,236.75,10399.0,248.0,236.748498
TSLA,2023-08-14 12:11:00+00:00,236.7,236.8,236.7,236.8,9793.0,205.0,236.720896
TSLA,2023-08-14 12:12:00+00:00,236.7101,236.869,236.7017,236.83,8823.0,230.0,236.796075
TSLA,2023-08-14 12:13:00+00:00,236.83,236.9,236.75,236.8,16586.0,261.0,236.819253
TSLA,2023-08-14 12:14:00+00:00,236.85,236.98,236.8,236.98,6625.0,193.0,236.908801
TSLA,2023-08-14 12:15:00+00:00,236.95,236.98,236.88,236.95,9335.0,229.0,236.923761
TSLA,2023-08-14 12:16:00+00:00,236.95,236.95,236.75,236.78,13442.0,222.0,236.823932
TSLA,2023-08-14 12:17:00+00:00,236.79,236.82,236.7,236.7,8620.0,288.0,236.756953
TSLA,2023-08-14 12:18:00+00:00,236.7,236.77,236.52,236.53,21227.0,538.0,236.651423
TSLA,2023-08-14 12:19:00+00:00,236.6487,236.65,236.41,236.42,25124.0,649.0,236.515836
TSLA,2023-08-14 12:20:00+00:00,236.41,236.48,236.34,236.4,27516.0,524.0,236.395398
TSLA,2023-08-14 12:21:00+00:00,236.34,236.34,236.22,236.2501,34625.0,569.0,236.297047
TSLA,2023-08-14 12:22:00+00:00,236.25,236.26,236.06,236.06,36185.0,829.0,236.162924
TSLA,2023-08-14 12:23:00+00:00,236.12,236.25,236.06,236.25,26339.0,323.0,236.158583
TSLA,2023-08-14 12:24:00+00:00,236.25,236.3399,236.11,236.14,16268.0,344.0,236.1859
TSLA,2023-08-14 12:25:00+00:00,236.14,236.32,236.076,236.28,31758.0,393.0,236.167429
TSLA,2023-08-14 12:26:00+00:00,236.33,236.34,236.2,236.25,11290.0,243.0,236.272622
TSLA,2023-08-14 12:27:00+00:00,236.23,236.27,236.01,236.03,21179.0,529.0,236.105655
TSLA,2023-08-14 12:28:00+00:00,236.0,236.1,235.8036,235.88,55887.0,1796.0,235.960645
TSLA,2023-08-14 12:29:00+00:00,235.85,236.0,235.8,236.0,18350.0,463.0,235.871172
TSLA,2023-08-14 12:30:00+00:00,236.0,236.0,235.62,235.68,23602.0,662.0,235.778675
TSLA,2023-08-14 12:31:00+00:00,235.68,235.9,235.65,235.79,31068.0,476.0,235.794493
TSLA,2023-08-14 12:32:00+00:00,235.73,235.74,235.6,235.66,16587.0,499.0,235.672553
TSLA,2023-08-14 12:33:00+00:00,235.6,235.7,235.4517,235.7,56450.0,1146.0,235.565957
TSLA,2023-08-14 12:34:00+00:00,235.61,235.7,235.42,235.55,29848.0,521.0,235.531956
TSLA,2023-08-14 12:35:00+00:00,235.57,235.69,235.51,235.6491,15626.0,354.0,235.598396
TSLA,2023-08-14 12:36:00+00:00,235.5984,235.7,235.55,235.66,25564.0,471.0,235.636901
TSLA,2023-08-14 12:37:00+00:00,235.66,235.69,235.5631,235.63,16082.0,387.0,235.63146
TSLA,2023-08-14 12:38:00+00:00,235.6,235.64,235.55,235.63,14218.0,337.0,235.582235
TSLA,2023-08-14 12:39:00+00:00,235.6,235.65,235.44,235.45,23347.0,534.0,235.541416
TSLA,2023-08-14 12:40:00+00:00,235.42,235.45,235.21,235.21,39143.0,978.0,235.349683
TSLA,2023-08-14 12:41:00+00:00,235.22,235.31,235.09,235.3,51334.0,1029.0,235.185302
TSLA,2023-08-14 12:42:00+00:00,235.3,235.3,235.14,235.3,32272.0,487.0,235.233115
TSLA,2023-08-14 12:43:00+00:00,235.3,235.3,235.15,235.25,32214.0,525.0,235.229138
TSLA,2023-08-14 12:44:00+00:00,235.22,235.25,235.05,235.19,34464.0,607.0,235.146864
