ROI,Dev Factor,Rsi period,Rsi low,Rsi high,Bollinger Period,Gain value
score,pfast,pslow,high_low_period,high_low_error,gain_value
0.0037234999999998814,8,17,17,0.2,1.5
0.0016632499999998983,8,17,17,0.3,1.0
0.00456375000000012,8,17,17,0.3,1.5
0.010531249999999945,8,17,17,0.4,1.0
0.013431750000000164,8,17,17,0.4,1.5
0.010128747499999723,8,17,17,0.5,1.0
0.010617247499999994,8,17,17,0.5,1.5
0.010128747499999723,8,17,17,0.6,1.0
0.010617247499999994,8,17,17,0.6,1.5
0.010128747499999723,8,17,17,0.7,1.0
0.010617247499999994,8,17,17,0.7,1.5
0.010128747499999723,8,17,17,0.8,1.0
0.010617247499999994,8,17,17,0.8,1.5
0.010128747499999723,8,17,17,0.9,1.0
0.010617247499999994,8,17,17,0.9,1.5
0.00014634999999999892,8,20,17,0.1,1.0
0.0,8,20,17,0.1,1.5
0.002014999999999864,8,20,17,0.2,1.0
0.01643780000000015,8,20,17,0.2,1.5
0.0016632499999998983,8,20,17,0.3,1.0
0.016086050000000185,8,20,17,0.3,1.5
0.00889124999999993,8,20,17,0.4,1.0
0.010491750000000055,8,20,17,0.4,1.5
0.006428999999999883,8,20,17,0.5,1.0
0.010089247499999832,8,20,17,0.5,1.5
0.006428999999999883,8,20,17,0.6,1.0
0.010089247499999832,8,20,17,0.6,1.5
0.006428999999999883,8,20,17,0.7,1.0
0.010089247499999832,8,20,17,0.7,1.5
0.006428999999999883,8,20,17,0.8,1.0
0.010089247499999832,8,20,17,0.8,1.5
0.006428999999999883,8,20,17,0.9,1.0
0.010089247499999832,8,20,17,0.9,1.5
0.00039299999999993745,8,23,17,0.1,1.0
0.010418000000000057,8,23,17,0.1,1.5
0.005068999999999971,8,23,17,0.2,1.0
0.007743499999999796,8,23,17,0.2,1.5
0.005194,8,23,17,0.3,1.0
0.007743499999999796,8,23,17,0.3,1.5
0.005194,8,23,17,0.4,1.0
0.007743499999999796,8,23,17,0.4,1.5
0.005194,8,23,17,0.5,1.0
0.007743499999999796,8,23,17,0.5,1.5
0.005194,8,23,17,0.6,1.0
0.007743499999999796,8,23,17,0.6,1.5
0.005194,8,23,17,0.7,1.0
0.007743499999999796,8,23,17,0.7,1.5
0.005194,8,23,17,0.8,1.0
0.007743499999999796,8,23,17,0.8,1.5
0.005194,8,23,17,0.9,1.0
0.007743499999999796,8,23,17,0.9,1.5
0.0,8,26,17,0.1,1.0
0.0,8,26,17,0.1,1.5
0.00027299999999990873,8,26,17,0.2,1.0
0.0035224999999997784,8,26,17,0.2,1.5
0.00027299999999990873,8,26,17,0.3,1.0
0.0035224999999997784,8,26,17,0.3,1.5
0.00027299999999990873,8,26,17,0.4,1.0
0.0035224999999997784,8,26,17,0.4,1.5
0.008455749999999927,8,26,17,0.5,1.0
0.011705249999999796,8,26,17,0.5,1.5
0.009092249999999887,8,26,17,0.6,1.0
0.015292750000000091,8,26,17,0.6,1.5
0.0069314999999998544,8,26,17,0.7,1.0
0.013132000000000059,8,26,17,0.7,1.5
0.0069314999999998544,8,26,17,0.8,1.0
0.013132000000000059,8,26,17,0.8,1.5
0.0069314999999998544,8,26,17,0.9,1.0
0.013132000000000059,8,26,17,0.9,1.5
0.012100124999999955,8,29,17,0.1,1.0
0.012100124999999955,8,29,17,0.1,1.5
0.0013251249999999487,8,29,17,0.2,1.0
0.004050625000000045,8,29,17,0.2,1.5
0.0011501249999999658,8,29,17,0.3,1.0
0.004050625000000045,8,29,17,0.3,1.5
0.0011501249999999658,8,29,17,0.4,1.0
0.004050625000000045,8,29,17,0.4,1.5
0.010110500000000078,8,29,17,0.5,1.0
0.016210000000000058,8,29,17,0.5,1.5
0.010110500000000078,8,29,17,0.6,1.0
0.016210000000000058,8,29,17,0.6,1.5
0.007949750000000045,8,29,17,0.7,1.0
0.014049250000000024,8,29,17,0.7,1.5
0.007949750000000045,8,29,17,0.8,1.0
0.014049250000000024,8,29,17,0.8,1.5
0.007949750000000045,8,29,17,0.9,1.0
0.014049250000000024,8,29,17,0.9,1.5
0.012279874999999956,11,14,17,0.1,1.0
0.014904874999999984,11,14,17,0.1,1.5
0.013799374999999989,11,14,17,0.2,1.0
0.013965499999999955,11,14,17,0.2,1.5
0.013296875000000017,11,14,17,0.3,1.0
0.013462999999999982,11,14,17,0.3,1.5
0.010106000000000063,11,14,17,0.4,1.0
0.012931000000000052,11,14,17,0.4,1.5
0.007794500000000024,11,14,17,0.5,1.0
